Name,item,amount,unit,cost/unit,total cost,weight ratio,Notes,Combination 1,C1 Ratio,C1 Amount,,,,,,,,,,,,,,,Name,ingredient,weight,,,measurement,price per kilogram,brewing cost,notes,:Brew Archive,,Notes,,
2022-08-08 brew,mate,8.5,grams,$0.05,$0.44,0.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-08 brew,water,2000,grams,$0.00,$2.00,97.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-08 brew small cup,2022-08-08 brew,80.5,grams,$0.00,$0.30,84.56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-08 brew small cup,turmeric honey,14.7,grams,$0.06,$0.88,15.44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-08 brew 1L glass jar,2022-08-08 brew,1147,grams,$0.00,$4.33,94.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-08 brew 1L glass jar,turmeric honey,72,grams,$0.06,$4.32,5.91%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-17 Blend: $1 BigW Jar ,2022-07-17 Blend,50,grams,$0.08,$3.76,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 brew,"ginger & loquot leaf, dried",40.4,grams,$0.00,$0.04,1.94%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 brew,2022-07-17 Blend,32,grams,$0.08,$2.41,1.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 brew,water,2000,grams,$0.00,$2.00,96.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 brew,mate,10.8,grams,$0.05,$0.56,0.52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-20 brew,2022-07-17 Blend,49.5,grams,$0.08,$3.72,2.96%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-20 brew,rain water,1600,grams,$0.00,$1.60,95.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-20 brew,mate,19.4,grams,$0.05,$1.01,1.16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-20 brew,lemon myrtle,3,grams,$0.40,$1.20,0.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-20 peace cup,turmeric honey,47,grams,$0.06,$2.82,14.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-20 peace cup,2022-08-20 brew,216,grams,$0.00,$0.97,67.08%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-20 peace cup,2022-08-20 coffee brew,59,grams,$0.00,$0.22,18.32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-20 coffee brew,mountain top coffee bundja,35,grams,$0.04,$1.40,9.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-20 coffee brew,filtered water,350,grams,$0.00,$0.04,90.91%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-24 brew,2022-07-17 Blend,59.6,grams,$0.08,$4.48,1.45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-24 brew,filtered water,4000,grams,$0.00,$0.40,97.43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-24 brew,mate,27.3,grams,$0.05,$1.42,0.66%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-24 brew,fine lemon myrtle,18.8,grams,$0.14,$2.54,0.46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-28 brew,2022-07-17 Blend,75,grams,$0.08,$5.64,1.79%,,2022-08-30 hour brew,1.45%,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-28 brew,filtered water,4000,grams,$0.00,$0.40,95.69%,,2022-08-30 hour brew,96.34%,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-28 brew,mate,15,grams,$0.05,$0.78,0.36%,,2022-08-30 hour brew,0.29%,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-28 brew,fine lemon myrtle,60,grams,$0.14,$8.10,1.44%,,2022-08-30 hour brew,1.16%,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-28 brew,fresh farm ginger,30,grams,$0.03,$0.90,0.72%,,2022-08-30 hour brew,0.58%,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-30 hour brew,Xingjian's mums dandelion & lavender tea,10,grams,$0.30,$3.00,0.99%,,2022-08-28 brew,0.19%,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-30 hour brew,filtered water,1000,grams,$0.00,$0.10,99.01%,,2022-08-28 brew,96.34%,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-31 brew blend,2022-08-30 hour brew,111,grams,$0.00,$0.34,29.68%,,2022-08-30 hour brew,8.02%,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-31 brew blend,2022-08-28 brew,113,grams,$0.00,$0.43,30.21%,,2022-08-30 hour brew,8.16%,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-31 brew blend,filtered water,150,grams,$0.00,$0.02,40.11%,,2022-08-30 hour brew,83.09%,1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-01 brew,filtered water,4000,grams,$0.00,$0.40,96.36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-01 brew,2022-07-17 Blend,33,grams,$0.08,$2.48,0.79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-01 brew,mate,13,grams,$0.05,$0.68,0.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-01 brew,fine lemon myrtle,15,grams,$0.14,$2.03,0.36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-01 brew,fresh farm ginger,85,grams,$0.03,$2.55,2.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-01 brew,Xingjian's mums dandelion & lavender tea,5,grams,$0.30,$1.50,0.12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-06 brew,filtered water,4000,grams,$0.00,$0.40,96.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-06 brew,2022-07-17 Blend,50.7,grams,$0.08,$3.81,1.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-06 brew,mate,26.8,grams,$0.05,$1.39,0.65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-06 brew,fine lemon myrtle,15.5,grams,$0.14,$2.09,0.37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-06 brew,fresh farm ginger,45.8,grams,$0.03,$1.37,1.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-06 brew,Xingjian's mums dandelion & lavender tea,10.3,grams,$0.30,$3.09,0.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-17 blend,2022-07-17 Blend,55,grams,$0.08,$4.14,52.63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-17 blend,mate,21.5,grams,$0.05,$1.12,20.57%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-17 blend,fine lemon myrtle,28,grams,$0.14,$3.78,26.79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-17 brew,water,1200,grams,$0.00,$0.12,96.23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-17 brew,2022-09-17 blend,47,grams,$0.09,$4.06,3.77%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-17 brew 2,water,1200,grams,$0.00,$0.12,97.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-17 brew 2,2022-09-17 blend,36,grams,$0.09,$3.11,2.91%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-19 blend,2022-07-17 Blend,216.7,grams,$0.08,$16.31,65.77%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-19 blend,mate,80.7,grams,$0.05,$4.20,24.49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-19 blend,fine lemon myrtle,32.1,grams,$0.14,$4.33,9.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-19 brew,rain water,3000,grams,$0.00,$0.30,96.97%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-19 brew,2022-09-19 blend,93.8,grams,$0.08,$7.07,3.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-19 brew 900ml bottle,2022-09-19 brew,900,grams,$0.00,$2.14,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-23 brew,rain water,3000,grams,$0.00,$0.30,97.66%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-23 brew,2022-09-19 blend,49.3,grams,$0.08,$3.72,1.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-23 brew,fresh farm ginger,22.6,grams,$0.03,$0.68,0.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-27 brew,rain water,3450,grams,$0.00,$0.35,97.89%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-27 brew,2022-09-19 blend,41.4,grams,$0.08,$3.12,1.17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-27 brew,fresh farm ginger,33,grams,$0.03,$0.99,0.94%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-30 brew,filtered water,3000,grams,$0.00,$0.30,98.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-30 brew,2022-09-19 blend,30,grams,$0.08,$2.26,0.99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-30 brew,fresh farm ginger,14.5,grams,$0.03,$0.44,0.48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-01 brew,filtered water,2000,grams,$0.00,$0.20,98.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-01 brew,2022-09-19 blend,30,grams,$0.08,$2.26,1.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-01 brew,fresh farm ginger,9.8,grams,$0.03,$0.29,0.48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-03 brew,filtered water,2000,grams,$0.00,$0.20,98.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-03 brew,2022-09-19 blend,30,grams,$0.08,$2.26,1.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-03 brew,fresh farm ginger,9.8,grams,$0.03,$0.29,0.48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-04 blend,mate,900,grams,$0.05,$46.80,14.17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-04 blend,fine lemon myrtle,350,grams,$0.14,$47.25,5.51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-04 blend,black tea,1500,grams,$0.04,$54.00,23.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-04 blend,Organic Ceylon Cinnamon Chips,500,grams,$0.05,$22.50,7.87%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-04 blend,Organic Liquorice Root,250,grams,$0.03,$8.28,3.94%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-04 blend,Organic Fenugreek Seed,250,grams,$0.02,$4.00,3.94%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-04 blend,Organic Roasted Dandelion Root,500,grams,$0.07,$34.95,7.87%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-04 blend,Organic Cardamom Pods,250,grams,$0.12,$17.48,3.94%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-04 blend,lemon grass,350,grams,,$0.00,5.51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-04 blend,star anise,200,grams,,$0.00,3.15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-04 blend,moringa leaf,350,grams,,$0.00,5.51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-04 blend,Nettle Leaf,350,grams,,$0.00,5.51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-04 blend,Cloves,100,grams,,$0.00,1.57%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-04 blend,Dried Farm Ginger,500,grams,,$0.00,7.87%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-04 brew,filtered water,3000,grams,$0.00,$0.30,98.56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-04 brew,2022-09-19 blend,26.1,grams,$0.08,$1.97,0.86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-04 brew,fresh farm ginger,17.6,grams,$0.03,$0.53,0.58%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-06 brew,filtered water,2500,grams,$0.00,$0.25,98.32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-06 brew,2022-09-19 blend,26.7,grams,$0.08,$2.01,1.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-06 brew,fresh farm ginger,16.1,grams,$0.03,$0.48,0.63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-11 brew,filtered water,2000,grams,$0.00,$0.20,97.13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-11 brew,2022-09-19 blend,45.1,grams,$0.08,$3.40,2.19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-11 brew,fresh farm ginger,14.1,grams,$0.03,$0.42,0.68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-14 kombucha brew,filtered water,4000,grams,$0.00,$0.40,92.85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-14 kombucha brew,certified organic black Ceylon tea,28.1,grams,$0.06,$1.74,0.65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-14 kombucha brew,certified organic raw cane sugar,280,grams,$0.01,$1.40,6.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-19 brew,2022-10-18 blend,16,grams,$0.08,$1.20,2.52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-19 brew,rain water,619,grams,$0.00,$0.06,97.48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-20 brew,2022-10-18 blend,38,grams,$0.08,$2.85,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-04,rain water,1727,grams,$0.00,$0.17,97.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-04,cacao nibs,24.3,grams,$0.02,$0.53,1.37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-04,yiyuan big leaf tea,12,grams,$0.06,$0.72,0.68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-04,mate,13.1,grams,$0.05,$0.68,0.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-05 kombucha brew,filtered water,4000,grams,$0.00,$0.40,92.48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-05 kombucha brew,certified organic black Ceylon tea,42.3,grams,$0.06,$2.62,0.98%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-05 kombucha brew,certified organic raw cane sugar,283,grams,$0.01,$1.42,6.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07 roasted dandelion detox blend brew,roasted dandelion,10,grams,$0.06,$0.62,1.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07 roasted dandelion detox blend brew,filtered water,500,grams,$0.00,$0.05,74.85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07 roasted dandelion detox blend brew,turmeric honey,16,grams,$0.06,$0.96,2.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07 roasted dandelion detox blend brew,norco organic milk,142,grams,$0.00,$0.39,21.26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-08 roasted dandelion detox blend brew,roasted dandelion,21,grams,$0.06,$1.30,1.93%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-08 roasted dandelion detox blend brew,filtered water,784,grams,$0.00,$0.08,72.19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-08 roasted dandelion detox blend brew,turmeric honey,57,grams,$0.06,$3.42,5.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-08 roasted dandelion detox blend brew,norco organic milk,224,grams,$0.00,$0.61,20.63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-08,filtered water,1000,grams,$0.00,$0.10,97.37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-08,cacao nibs,11.9,grams,$0.02,$0.26,1.16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-08,yiyuan big leaf tea,3.7,grams,$0.06,$0.22,0.36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-08,mate,4.7,grams,$0.05,$0.24,0.46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-08,organic black earl grey tea,6.7,grams,$0.07,$0.44,0.65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-09,filtered water,1986,grams,$0.00,$0.20,98.13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-09,cacao nibs,15.2,grams,$0.02,$0.33,0.75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-09,yiyuan big leaf tea,7.8,grams,$0.06,$0.47,0.39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-09,mate,6.1,grams,$0.05,$0.32,0.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-09,organic black earl grey tea,8.7,grams,$0.07,$0.57,0.43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-10,filtered water,3350,grams,$0.00,$0.34,96.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-10,cacao nibs,34.9,grams,$0.02,$0.77,1.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-10,yiyuan big leaf tea,27,grams,$0.06,$1.62,0.77%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-10,mate,32.4,grams,$0.05,$1.68,0.93%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-10,organic black earl grey tea,25.4,grams,$0.07,$1.68,0.73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-10,fine lemon myrtle,16.3,grams,$0.14,$2.20,0.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-13 brew,filtered water,4000,grams,$0.00,$0.40,94.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-13 brew,cacao nibs,68.2,grams,$0.02,$1.50,1.61%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-13 brew,yiyuan big leaf tea,42.6,grams,$0.06,$2.56,1.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-13 brew,mate,40.8,grams,$0.05,$2.12,0.97%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-13 brew,organic black earl grey tea,40.2,grams,$0.07,$2.65,0.95%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-13 brew,fine lemon myrtle,31.6,grams,$0.14,$4.27,0.75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.11.22 Alex's Intuitive blend brew,Organic Black Earl Grey Tea,149,g,$0.07,$9.83,6.31%,Organic Black Earl Grey Tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.11.22 Alex's Intuitive blend brew,Cacao Nibs,129,g,$0.02,$2.84,5.46%,"Organic Black Earl Grey Tea, Cacao Nibs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.11.22 Alex's Intuitive blend brew,Organic Dandelion Root,152,g,$0.04,$6.46,6.43%,"Organic Black Earl Grey Tea, Cacao Nibs, Organic Dandelion Root",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.11.22 Alex's Intuitive blend brew,Organic Ceylon Cinnamon Chips,189,g,$0.05,$8.51,8.00%,"Organic Black Earl Grey Tea, Cacao Nibs, Organic Dandelion Root, Organic Ceylon Cinnamon Chips",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.11.22 Alex's Intuitive blend brew,Organic Liquorice Root,113,g,$0.03,$3.74,4.78%,"Organic Black Earl Grey Tea, Cacao Nibs, Organic Dandelion Root, Organic Ceylon Cinnamon Chips, Organic Liquorice Root",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.11.22 Alex's Intuitive blend brew,Organic Fenugreek Seed,111,g,$0.03,$3.11,4.70%,"Organic Black Earl Grey Tea, Cacao Nibs, Organic Dandelion Root, Organic Ceylon Cinnamon Chips, Organic Liquorice Root, Organic Fenugreek Seed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.11.22 Alex's Intuitive blend brew,Organic Cut Star Anise,90,g,$0.06,$5.13,3.81%,"Organic Black Earl Grey Tea, Cacao Nibs, Organic Dandelion Root, Organic Ceylon Cinnamon Chips, Organic Liquorice Root, Organic Fenugreek Seed, Organic Cut Star Anise",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.11.22 Alex's Intuitive blend brew,Organic Vana Tulsi,67,g,$0.03,$2.28,2.84%,"Organic Black Earl Grey Tea, Cacao Nibs, Organic Dandelion Root, Organic Ceylon Cinnamon Chips, Organic Liquorice Root, Organic Fenugreek Seed, Organic Cut Star Anise, Organic Vana Tulsi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.11.22 Alex's Intuitive blend brew,Organic Cardamom Pods,181,g,$0.12,$20.92,7.66%,"Organic Black Earl Grey Tea, Cacao Nibs, Organic Dandelion Root, Organic Ceylon Cinnamon Chips, Organic Liquorice Root, Organic Fenugreek Seed, Organic Cut Star Anise, Organic Vana Tulsi, Organic Cardamom Pods",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.11.22 Alex's Intuitive blend brew,Organic Aged Yerba Mate,133,g,$0.03,$4.59,5.63%,"Organic Black Earl Grey Tea, Cacao Nibs, Organic Dandelion Root, Organic Ceylon Cinnamon Chips, Organic Liquorice Root, Organic Fenugreek Seed, Organic Cut Star Anise, Organic Vana Tulsi, Organic Cardamom Pods, Organic Aged Yerba Mate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.11.22 Alex's Intuitive blend brew,Organic Moringa Leaf,98,g,$0.04,$4.02,4.15%,"Organic Black Earl Grey Tea, Cacao Nibs, Organic Dandelion Root, Organic Ceylon Cinnamon Chips, Organic Liquorice Root, Organic Fenugreek Seed, Organic Cut Star Anise, Organic Vana Tulsi, Organic Cardamom Pods, Organic Aged Yerba Mate, Organic Moringa Leaf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.11.22 Alex's Intuitive blend brew,Organic Nettle Leaf,107,g,$0.04,$4.28,4.53%,"Organic Black Earl Grey Tea, Cacao Nibs, Organic Dandelion Root, Organic Ceylon Cinnamon Chips, Organic Liquorice Root, Organic Fenugreek Seed, Organic Cut Star Anise, Organic Vana Tulsi, Organic Cardamom Pods, Organic Aged Yerba Mate, Organic Moringa Leaf, Organic Nettle Leaf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.11.22 Alex's Intuitive blend brew,Organic Lemon Grass,134,g,$0.03,$3.35,5.67%,"Organic Black Earl Grey Tea, Cacao Nibs, Organic Dandelion Root, Organic Ceylon Cinnamon Chips, Organic Liquorice Root, Organic Fenugreek Seed, Organic Cut Star Anise, Organic Vana Tulsi, Organic Cardamom Pods, Organic Aged Yerba Mate, Organic Moringa Leaf, Organic Nettle Leaf, Organic Lemon Grass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.11.22 Alex's Intuitive blend brew,Fine Lemon Myrtle (Alex's Stock),59,g,$0.14,$7.97,2.50%,"Organic Black Earl Grey Tea, Cacao Nibs, Organic Dandelion Root, Organic Ceylon Cinnamon Chips, Organic Liquorice Root, Organic Fenugreek Seed, Organic Cut Star Anise, Organic Vana Tulsi, Organic Cardamom Pods, Organic Aged Yerba Mate, Organic Moringa Leaf, Organic Nettle Leaf, Organic Lemon Grass, Fine Lemon Myrtle (Alex's Stock)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.11.22 Alex's Intuitive blend brew,Hand-picked Lemon Myrtle,35,g,$0.20,$7.00,1.48%,"Organic Black Earl Grey Tea, Cacao Nibs, Organic Dandelion Root, Organic Ceylon Cinnamon Chips, Organic Liquorice Root, Organic Fenugreek Seed, Organic Cut Star Anise, Organic Vana Tulsi, Organic Cardamom Pods, Organic Aged Yerba Mate, Organic Moringa Leaf, Organic Nettle Leaf, Organic Lemon Grass, Fine Lemon Myrtle (Alex's Stock), Hand-picked Lemon Myrtle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.11.22 Alex's Intuitive blend brew,Organic Black Assam Tea,476,g,$0.05,$21.89,20.14%,"Organic Black Earl Grey Tea, Cacao Nibs, Organic Dandelion Root, Organic Ceylon Cinnamon Chips, Organic Liquorice Root, Organic Fenugreek Seed, Organic Cut Star Anise, Organic Vana Tulsi, Organic Cardamom Pods, Organic Aged Yerba Mate, Organic Moringa Leaf, Organic Nettle Leaf, Organic Lemon Grass, Fine Lemon Myrtle (Alex's Stock), Hand-picked Lemon Myrtle, Organic Black Assam Tea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.11.22 Alex's Intuitive blend brew,Organic Roasted Yerba Mate,140,g,$0.03,$4.77,5.92%,"Organic Black Earl Grey Tea, Cacao Nibs, Organic Dandelion Root, Organic Ceylon Cinnamon Chips, Organic Liquorice Root, Organic Fenugreek Seed, Organic Cut Star Anise, Organic Vana Tulsi, Organic Cardamom Pods, Organic Aged Yerba Mate, Organic Moringa Leaf, Organic Nettle Leaf, Organic Lemon Grass, Fine Lemon Myrtle (Alex's Stock), Hand-picked Lemon Myrtle, Organic Black Assam Tea, Organic Roasted Yerba Mate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
