Name,item,amount,unit,cost/unit,total cost,weight ratio,Notes,Combination 1,C1 Ratio,C1 Amount,,,,,,,,,,,,,,,Name,ingredient,weight,,,measurement,price per kilogram,brewing cost,notes,:Brew Archive,,Notes,,
Packagings: St. Dalfour Jam Jar,Feb22Blend2,56.1,grams,$0.06,$3.61,100.00%,,,,,,,,,,,,,,,,,,,,water,1100,millilitres,,,,,,,,,have 50g of ginger left over equal to 250g fresh cut ginger,
Packagings: $1 BigW Jar ,Feb22Blend2,48.3,grams,$0.06,$3.11,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,next blend,
Packagings: Bamboo Lid Jar,Feb22Blend2,291.8,grams,$0.06,$18.79,100.00%,,,,,,,,,,,,,,,,,,,,water,1500,millilitres,,,,,,,,,will probably aim for 3kg,
Packagings: Protect The Sacred Love Bag,Feb22Blend2,88.9,grams,$0.06,$5.72,100.00%,,,,,,,,,,,,,,,,,,,,quinoa,50,grams,,,,,,,,have:,130g black tea,
Packagings: Brown Paper Bag,Feb22Blend2,90.7,grams,$0.06,$5.84,100.00%,,,,,,,,,,,,,,,,,,,,buckwheat,50,grams,,,,,,,,,50g lemon grass,
Feb22BrewForFabio,Feb22Blend2,25.2,grams,$0.06,$1.62,100.00%,,,,,,,,,,,,,,,,,,,,oats,250,grams,,,,,,,,,33.8g nettle,
2022Mar31Purchase,cinnamon quills,115,grams,$0.09,$10.58,10.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71g moringa leaf,
2022Mar31Purchase,licorice root,135,grams,$0.07,$8.78,11.79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8g clove,
2022Mar31Purchase,fenugreek seeds,250,grams,$0.03,$7.50,21.83%,,,,,,,,,,,,,,,,,,,John's brew #2,cinnamon,45,grams,,82.29,3.70305,,,,,Brew 2022-06-22 notes,,
2022Mar31Purchase,dandelion root,170,grams,$0.08,$13.09,14.85%,,,,,,,,,,,,,,,,,,,John's brew #2,water,1.5,litres,,,,,,,,,1165g brew,
2022Mar31Purchase,cardamom pods,85,grams,$0.20,$16.92,7.42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578g brewed blend,
2022Mar31Purchase,lemon grass,105,grams,$0.05,$5.67,9.17%,,,,,,,,,,,,,,,,,,,John's brew #2,lemon myrtle,1,handful,,,,,,,,,1743,
2022Mar31Purchase,cloves,55,grams,$0.09,$4.79,4.80%,,,,,,,,,,,,,,,,,,,John's brew #2,water,2,litres,,,,,,,,,(220g blend used),
2022Mar31Purchase,nettle,60,grams,$0.08,$4.80,5.24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022Mar31Purchase,star anise,35,grams,$0.13,$4.69,3.06%,,,,,,,,,,,,,,,,,,,,Gas,321,seconds,,1,0.321,,,,,,,
2022Mar31Purchase,moringa leaf,135,grams,$0.07,$9.32,11.79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022Mar31PurchaseBlackTea,black tea,415,grams,$0.06,$24.90,100.00%,,,,,,,,,,,,,,,,,,,John's brew #2,roasted dandelion,50,grams,,29.95,1.4975,,,,,,,
April22Blend,cinnamon quills,115,grams,$0.09,$10.58,8.39%,,,,,,,,,,,,,,,,,,,John's brew #2,water,1.5,litres,,resulted in 1 litre,,,,,,,,
April22Blend,licorice root,131,grams,$0.07,$8.52,9.56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April22Blend,fenugreek seeds,250,grams,$0.03,$7.50,18.25%,,,,,,,,,,,,,,,,,,,John's brew #2,jiaogulan,8,grams,,262.5,2.1,,,,,,,
April22Blend,dandelion root,168.5,grams,$0.08,$12.97,12.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April22Blend,cardamom pods,81,grams,$0.20,$16.12,5.91%,,,,,,,,,,,,,,,,,,,John's brew #2,organic Echinacea,13.4,grams,,1000,156,$2.09,,,,,,
April22Blend,lemon grass,50,grams,$0.05,$2.70,3.65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April22Blend,cloves,35,grams,$0.09,$3.05,2.55%,,,,,,,,,,,,,,,,,,,kombucha,black tea,12.8,grams,,1000,12.8,,,,,,,
April22Blend,nettle leaves,36.5,grams,$0.08,$2.92,2.66%,,,,,,,,,,,,,,,,,,,,,3,grams,,,,,,,,,,
April22Blend,star anise,32,grams,$0.13,$4.29,2.34%,,,,,,,,,,,,,,,,,,,kombucha,coconut sugar,44.3,grams,,500,22.15,,,,,,,
April22Blend,moringa leaf,65,grams,$0.07,$4.49,4.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April22Blend,ginger leaf home grown,10,grams,$0.20,$2.00,0.73%,,,,,,,,,,,,,,,,,,,,teaspoon,2.3,grams,,,,,,,,,,
April22Blend,roasted barley Dawn bought,151.5,grams,$0.01,$0.76,11.06%,,,,,,,,,,,,,,,,,,,,6,13.8,grams,,,,,,,,,,
April22Blend,green tea Dawn bought,46,grams,$0.06,$2.76,3.36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April22Blend,2022Mar31PurchaseBlackTea,198.5,grams,$0.06,$11.91,14.49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April22Blend2,April22Blend,115.7,grams,$0.07,$7.65,66.61%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April22Blend2,2022Mar31PurchaseBlackTea,58,grams,$0.06,$3.48,33.39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May22Blend,home grown ginger leaf,8.9,grams,$0.20,$1.78,1.08%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May22Blend,zarra Ridge ginger,383.3,grams,$0.05,$19.17,46.35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May22Blend,lemon myrtle,3.4,grams,$0.20,$0.68,0.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May22Blend,April22Blend,257.9,grams,$0.07,$17.05,31.19%,,,,,,11/06/2022 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
May22Blend,mountain top bundja coffee,133.2,grams,$0.03,$4.00,16.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May22Blend,2022Mar31PurchaseBlackTea,40.2,grams,$0.06,$2.41,4.86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May22Brew,May22Blend,276,grams,$0.05,$15.05,6.94%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May22Brew,water,3200,grams,$0.00,$1.41,80.48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May22Brew,milk,200,grams,$0.00,$0.34,5.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May22Brew,honey,300,grams,$0.06,$18.00,7.55%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-11 Brew,April22Blend,52.2,grams,$0.07,$3.45,1.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-11 Brew,2022Mar31PurchaseBlackTea,11.8,grams,$0.06,$0.71,0.34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-11 Brew,cacao nibs,10.8,grams,$0.02,$0.24,0.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-11 Brew,lemon myrtle,1.3,grams,$0.20,$0.26,0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-11 Brew,water,3400,grams,$0.00,$1.50,97.81%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-11 Brew kombucha in large jar,water,481,grams,$0.00,$0.21,28.18%,30 degrees celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-11 Brew kombucha in large jar,Rapadura Sugar,62,grams,$0.01,$0.56,3.63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-11 Brew kombucha in large jar,water,786,grams,$0.00,$0.35,46.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-11 Brew kombucha in large jar,2022-06-11 Brew,280,grams,$0.00,$0.50,16.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-11 Brew kombucha in large jar,scoby,98,grams,$0.01,$0.98,5.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
